MISMATCH,Channel,Date,Start Time,Program Name - protrack,Nola Episode - protrack,Program Name - pbs,Nola Episode - pbs,Episode Name - pbs,Description - pbs
,9.1,2025-03-17,00:00:00,Best of the 60's (My Music Presents),#0,Best of the 60's (My Music Presents),,,"Celebrating the decade of peace, love and happiness with pop, folk, rock, The British Beat, Motown and soul hits of the 1960s."
,9.1,2025-03-17,02:30:00,"Young Forever with Mark Hyman, Md",#0,"Young Forever With Mark Hyman, MD",,,"Dr. Mark Hyman explores the biological hallmarks of aging, their causes and their consequences and how to overcome them with simple dietary and lifestyle strategies."
YES,9.1,2025-03-17,04:30:00,Aging Backwards 4: The Miracle of Flexibility with Miranda,,Aging Backwards 4: The Miracle of Flexibility With Miranda Esmonde-White,,,"Gentle flexibility and range of motion exercises can improve posture and help reverse the signs of aging, improve organ health and increase energy."
,9.1,2025-03-17,05:30:00,Classical Stretch: By Essentrics,#1202,Classical Stretch: By Essentrics,#1202,Hip Pain Relief and Stretch,Miranda Esmonde-White offers an exercise program for people of all ages and fitness levels.
,9.1,2025-03-17,06:00:00,Cyberchase,#1503,Cyberchase,#1503,A Berry Special Mother's Day,"After being warped into Cyberspace from a library computer, Matt leads friends Jackie and Inez as Cybersquad. With live hosts Bianca and Harry, the team must protect Motherboard from the evil Hacker who wants to rule Cyberspace. Using gadgets and following clues, the team solves math mysteries and any other problem that comes their way."
,9.1,2025-03-17,06:30:00,Wild Kratts,#122,Wild Kratts,#122,Koala Balloon,"This show follows the adventures of animated versions of brothers Chris and Martin Kratt, hosts of such educational shows as ""Kratts' Creatures"" and ""Zoboomafoo."" In the show, the animated Kratts encounter wild animals during stories of adventure and mystery. The live-action Kratt brothers introduce each episode."
,9.1,2025-03-17,07:00:00,Lyla in the Loop,#123,Lyla in the Loop,#123,Lyla Gets a Grip; Rappin' Riddles,Seven-year-old Lyla and her close-knit family address everyday problems together in the big city.
,9.1,2025-03-17,07:30:00,Carl The Collector,#107,Carl the Collector,#107,The Remote Control Collection; The Super Blue Moon Sleepover,"The everyday adventures of Carl, an autistic raccoon, who loves collecting things."
,9.1,2025-03-17,08:00:00,Daniel Tiger's Neighborhood,#308,Daniel Tiger's Neighborhood,#308,Daniel Doesn't Want to Go Potty; Daniel Sits on the Potty,"The first series inspired by ""Mister Rogers Neighborhood,"" ""Daniel Tiger's Neighborhood"" features 4-year-old Daniel Tiger, son of the original program's Daniel Striped Tiger. Every day Daniel puts on his red sweater, ties his shoes, and invites a new generation of preschoolers into the Neighborhood of Make-Believe. Daniel shares his daily adventures with pals O the Owl, Katerina Kittycat, Prince Wednesday and Miss Elaina. With the help of Daniel and his friends, preschoolers have fun and learn practical skills necessary for growing and developing."
,9.1,2025-03-17,08:30:00,Rosie's Rules,#125,Rosie's Rules,#125,Rosie the Message Delivery Kid; Javi's Growl,Five-year-old Mexican American Rosie Fuentes learns how the world around her works in her suburban Texas community.
