Channel,Date,Start Time,Program Name,Nola Episode,Description
9.1,2025-03-26,06:00:00,Cyberchase,#401,
9.1,2025-03-26,06:30:00,Wild Kratts,#128,
9.1,2025-03-26,07:00:00,Lyla in the Loop,#120,
9.1,2025-03-26,07:30:00,Carl the Collector,#114,
9.1,2025-03-26,08:00:00,Daniel Tiger's Neighborhood,#511,
9.1,2025-03-26,08:30:00,Rosie's Rules,#140,
9.1,2025-03-26,09:00:00,Sesame Street,#5403,
9.1,2025-03-26,09:30:00,Work It Out Wombats!,#38,
9.1,2025-03-26,10:00:00,Donkey Hodie,#217,
9.1,2025-03-26,10:30:00,Pinkalicious & Peterrific,#504,
9.1,2025-03-26,11:00:00,Elinor Wonders Why,#202,
9.1,2025-03-26,11:30:00,Alma's Way,#137,
9.1,2025-03-26,12:00:00,Molly of Denali,#309,
9.1,2025-03-26,12:30:00,Xavier Riddle and The Secret Museum,#125,
9.1,2025-03-26,13:00:00,Sit and Be Fit,#1012,
9.1,2025-03-26,13:30:00,Classical Stretch,#1210,
9.1,2025-03-26,14:00:00,Finding Your Roots,#1007,
9.1,2025-03-26,15:00:00,American Experience,#3702,
9.1,2025-03-26,16:00:00,Playing Like A Girl: The House That Rob Built,,
9.1,2025-03-26,17:00:00,BBC News America,#1053,
9.1,2025-03-26,17:30:00,BBC News The Context,#1053,
9.1,2025-03-26,18:00:00,The PBS News Hour,#14693,
9.1,2025-03-26,19:00:00,Nature,#4211,
9.1,2025-03-26,20:00:00,NOVA,#5104,
9.1,2025-03-26,21:00:00,The Future of Nature,#101,
9.1,2025-03-26,22:00:00,Secrets of the Dead,#1603,
9.1,2025-03-26,23:00:00,Amanpour and Company,#7193,
9.1,2025-03-27,00:00:00,NOVA,#5104,
9.1,2025-03-27,01:00:00,The Future of Nature,#101,
9.1,2025-03-27,02:00:00,First Peoples,#101,
9.1,2025-03-27,03:00:00,American Experience,#3702,
9.1,2025-03-27,04:00:00,Finding Your Roots,#1007,
9.1,2025-03-27,05:00:00,Happy Yoga with Sarah Starr,#303,
9.1,2025-03-27,05:30:00,Classical Stretch,#1211,
9.1,2025-03-27,06:00:00,Cyberchase,#1002,
9.1,2025-03-27,06:30:00,Wild Kratts,#140,
9.1,2025-03-27,07:00:00,Lyla in the Loop,#111,
9.1,2025-03-27,07:30:00,Carl the Collector,#104,
9.1,2025-03-27,08:00:00,Daniel Tiger's Neighborhood,#205,
9.1,2025-03-27,08:30:00,Rosie's Rules,#127,
9.1,2025-03-27,09:00:00,Sesame Street,#5407,
9.1,2025-03-27,09:30:00,Work It Out Wombats!,#39,
9.1,2025-03-27,10:00:00,Donkey Hodie,#139,
9.1,2025-03-27,10:30:00,Pinkalicious & Peterrific,#403,
9.1,2025-03-27,11:00:00,Elinor Wonders Why,#124,
9.1,2025-03-27,11:30:00,Alma's Way,#206,
9.1,2025-03-27,12:00:00,Molly of Denali,#109,
9.1,2025-03-27,12:30:00,Xavier Riddle and The Secret Museum,#214,
9.1,2025-03-27,13:00:00,Sit and Be Fit,#1013,
9.1,2025-03-27,13:30:00,Classical Stretch,#1211,
9.1,2025-03-27,14:00:00,Nature,#4211,
9.1,2025-03-27,15:00:00,Colombia - Wild and Free,#101,
9.1,2025-03-27,16:00:00,Colombia - Wild and Free,#102,
9.1,2025-03-27,17:00:00,BBC News America,#1054,
9.1,2025-03-27,17:30:00,BBC News The Context,#1054,
9.1,2025-03-27,18:00:00,The PBS News Hour,#14694,
9.1,2025-03-27,19:00:00,On the Record,#810,
9.1,2025-03-27,19:30:00,Salud! Celebrating San Antonio's Latina Leaders,#401,
9.1,2025-03-27,20:00:00,Sister Boniface Mysteries,#104,
9.1,2025-03-27,21:00:00,Father Brown,#905,
9.1,2025-03-27,22:00:00,Velvet,#113,
9.1,2025-03-27,23:00:00,Amanpour and Company,#7194,
9.1,2025-03-28,00:00:00,This Old House,#4617,
9.1,2025-03-28,00:30:00,Playing Like A Girl: The House That Rob Built,,
9.1,2025-03-28,01:30:00,This Old House,#4617,
9.1,2025-03-28,02:00:00,The Future of Nature,#101,
9.1,2025-03-28,03:00:00,Nature,#4211,
9.1,2025-03-28,04:00:00,NOVA,#5104,
9.1,2025-03-28,05:00:00,Happy Yoga with Sarah Starr,#304,
9.1,2025-03-28,05:30:00,Classical Stretch,#1212,
9.1,2025-03-28,06:00:00,Cyberchase,#1103,
9.1,2025-03-28,06:30:00,Alma's Way,#223,
9.1,2025-03-28,07:00:00,Lyla in the Loop,#115,
